Indicator Name,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
入学率，中学，女生（占总人数的百分比）,42.38727951,36.03203964,31.41473007,26.36507034,24.23450089,23.96143913,25.36374092,26.63916969,29.11325073,30.53877068,30.9659996,31.01692009,33.29716873,36.58657074,39.49781036,42.16801834,46.24686813,51.07297897,53.68384933,,,,57.99494,,60.25623,,,70.96915,76.76522,82.26369,86.60894,88.01268,,,,,,,,,
入学率，中学，私立（占中学总量的百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48092,8.32112,9.05838,9.59147,9.93984,10.71927,10.98686,9.8304,10.1693,10.6265,11.23508,11.94174,12.82316,
失学儿童，小学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
失学男童，小学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
失学女童，小学,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
识字率，成年男性（占 15 岁以上男性人口的百分比）,,,,79.19178009,,,,,,,,87.02497864,,,,,,,,,,95.13525,,,,,,,,,,97.47946,,,,,,,,98.46654,
识字率，成年女性（占 15 岁以上女性人口的百分比）,,,,51.1368103,,,,,,,,68.07208252,,,,,,,,,,86.5266,,,,,,,,,,92.71123,,,,,,,,95.15933,
识字率，成人总体（占 15 岁以上人口的百分比）,,,,65.50508881,,,,,,,,77.78505707,,,,,,,,,,90.92021,,,,,,,,,,95.12448,,,,,,,,96.84089,
识字率，青年男性（占 15-24 岁男性人口的百分比）,,,,95.20854187,,,,,,,,96.97692871,,,,,,,,,,99.19846,,,,,,,,,,99.68962,,,,,,,,99.78379,
识字率，青年女性（占 15-24 岁女性人口的百分比）,,,,82.09922028,,,,,,,,91.45469666,,,,,,,,,,98.50486,,,,,,,,,,99.59304,,,,,,,,99.78338,
识字率，青年总体（占 15-24 岁人口的百分比）,,,,88.77333832,,,,,,,,94.28147125,,,,,,,,,,98.85873,,,,,,,,,,99.64229,,,,,,,,99.7836,
死亡率，5岁以下，男性（每千人）,,,,,,,,,,,,55.9,,,,,,,,,,38.8,,,,,,,,,,16.8,,,,,11.4,,,9.1,
死亡率，5岁以下，女性（每千人活产婴儿）,,,,,,,,,,,,51.4,,,,,,,,,,34.7,,,,,,,,,,14.7,,,,,10,,,8.1,
死亡率，成年人，男性（每千名男性）,174.302,171.155,168.008,164.861,161.681,158.501,155.321,152.141,148.961,149.47,149.979,150.489,150.998,151.507,150.02,148.533,147.047,145.56,144.073,139.875,135.678,131.48,127.282,123.085,121.86,120.635,119.41,118.185,116.96,115.067,113.174,111.281,109.388,107.496,105.02,102.543,100.067,97.591,95.115,,
死亡率，成年人，女性（每千名成年女性）,140.592,137.15,133.709,130.267,127.03,123.793,120.556,117.319,114.083,112.916,111.749,110.583,109.416,108.249,106.486,104.722,102.958,101.194,99.431,97.72,96.01,94.3,92.589,90.879,89.132,87.384,85.637,83.889,82.142,79.626,77.109,74.593,72.077,69.561,67.867,66.173,64.479,62.785,61.091,,
死亡率，五岁以下儿童（每千例活产儿）,65.9,62.5,59.7,57.5,55.8,54.7,54,53.8,53.8,53.9,53.9,53.7,53.2,52.2,50.8,49.2,47.4,45.5,43.5,41.4,39.2,36.8,34.2,31.5,28.9,26.3,24,21.9,20.1,18.5,17,15.8,14.6,13.5,12.5,11.6,10.7,9.9,9.2,8.6,
死亡率，婴幼儿（每千例活产儿）,50.3,48,46.2,44.7,43.5,42.7,42.3,42.1,42.1,42.2,42.2,42.1,41.7,41,40.1,38.9,37.7,36.3,34.9,33.5,31.9,30.1,28.2,26.2,24.1,22.2,20.3,18.7,17.2,15.8,14.6,13.6,12.6,11.6,10.8,10,9.2,8.5,7.9,7.4,
小学男生毕业率（相关年龄群体所占比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学男生总入学率（净比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学女生毕业率（相关年龄群体所占比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学女生与男生的入学比例 (%),0.851809978,0.851779997,0.845160007,0.828809977,0.821380019,0.825460017,0.828429997,0.86127001,0.87371999,0.881359994,0.889750004,0.899909973,0.911360025,0.922299981,0.927100003,0.936399996,0.946950018,0.957379997,0.966960013,0.974749982,,,0.99138,,,,,0.99198,0.98819,0.98455,0.98351,0.98268,0.98486,0.9889,0.99761,1.00072,1.00246,1.00509,1.00948,1.01135,
小学女生总入学率（净比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学入学年龄（年）,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
小学生人均支出（占人均 GDP 的百分比）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学师生比例,27.98316002,27.24542046,26.59745026,25.68556023,25.38248062,25.03049088,25.24790955,24.86643028,24.35070992,23.62223053,22.78693962,22.31880951,21.93083954,21.98751068,22.07777023,22.37416077,22.8513298,23.29627991,23.73693085,24.15677071,,,22.20572,,,,,18.25192,17.68203,17.55452,17.21563,16.84376,16.78841,16.84872,16.85343,16.23079,16.29441,16.54936,16.59383,16.42675,
小学总毕业率，（相关年龄群体所占比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小学总入学率（净比例）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新生儿死亡率 （每千例活产儿）,,,,,,,,,,,29.5,29.5,29.3,29,28.4,27.6,26.6,25.6,24.6,23.5,22.5,21.4,20,18.4,16.8,15.3,13.8,12.5,11.3,10.2,9.2,8.4,7.7,7,6.4,5.9,5.5,5,4.6,4.3,
新生儿死亡数,,,,,,,,,,,,740335,697976,649785,601451,555721,515725,482442,452906,425759,400623,376558,346700,316942,288247,261421,236454,213817,193981,176367,160873,147330,135028,123805,113547,104048,95221,86915,79312,72600,
学校入学率，小学（占总数的百分比）,109.2433014,109.719368,111.1699905,110.754158,110.7784119,111.5861969,116.6951828,121.48349,126.1507111,128.0993958,128.4742126,127.5487823,124.3763809,121.7244873,118.3772278,114.9444885,111.7638168,108.0741577,105.5070877,105.769371,,,112.34159,,,,,100.99328,100.70705,100.74244,100.0061,98.96422,99.04702,99.7911,99.5646,95.79643,96.3186,97.96192,99.40481,100.2227,
学校入学率，学前班（占总数的百分比）,7.853970051,9.103899956,12.40631962,11.99475002,13.40050983,14.49168015,16.89035034,19.47879028,21.02293015,22.43302917,21.92033005,20.91724014,21.48073006,22.68738937,23.49319077,23.62886047,24.58620071,25.96795082,27.4684391,40.81071091,44.90832138,44.85822,44.70245,40.0533,39.19936,,,42.55637,44.78932,47.09227,50.15158,53.66678,59.92233,68.3507,72.77946,76.07127,78.65605,82.36118,84.79782,88.09341,
学校入学率，学前班，男生（占总数的百分比）,,,,,,14.74812031,17.54726982,19.99757004,21.4532795,23.14624977,22.67433929,21.72172928,21.84589005,23.26989937,24.07493019,24.21203995,25.21747017,26.58695984,28.12335968,41.43294907,45.42152023,45.54516,45.25111,41.07411,40.30394,,,43.81826,46.22478,48.54235,51.4601,54.85113,60.79879,68.44507,72.55974,76.04974,78.50868,82.20493,84.53648,87.85069,
学校入学率，学前班，女生（占总数的百分比）,,,,,,14.2192297,16.19247055,18.92765999,20.5656395,21.67481041,21.11804962,20.06034088,21.09115028,22.06452942,22.86963081,23.00201988,23.90509033,25.29718018,26.75321007,40.11965942,44.32965851,44.0795,44.07704,38.89001,37.94449,,,41.11455,43.14146,45.41913,48.63462,52.29121,58.90279,68.24071,73.03579,76.09639,78.82756,82.54248,85.09948,88.37187,
